ra,dec,z,iGrID
44.2081604,15.984350199999998,0.0322486,4129
44.34803009,16.09519958,0.030710700000000007,4129
55.31198883,15.25360966,0.028736200000000007,4816
54.98836136,15.43682003,0.0271631,4816
55.05783081,15.47564983,0.0281746,4816
55.36785126,15.25903988,0.030427600000000006,4816
55.31523895,15.35855961,0.0309433,4816
55.30632019,15.37886047,0.0266124,4816
55.32305908,15.39657974,0.0290531,4816
55.29164886,15.48357964,0.0300459,4816
55.22595978,15.63395023,0.0300079,4816
60.60142136,21.19009018,0.0200551,3238
60.73112106,21.48384094,0.0194574,3238
60.66371918,21.56090927,0.0201128,3238
60.62583923,21.62541962,0.0206121,3238
60.54410934,21.95269966,0.021133900000000004,3238
60.62720871,21.89063072,0.0212888,3238
40.3576088,17.81221962,0.0287723,1955
39.98302078,17.52956963,0.0281726,1955
39.88800049,17.62944984,0.0296948,1955
40.27101898,17.77120972,0.028174,1955
40.0580101,17.88257027,0.0279507,1955
39.96083069,18.0242691,0.0277526,1955
37.62919998,22.94965935,0.0293618,2312
27.67383957,21.75992012,0.0079576,460
27.44705009,21.97084999,0.008405500000000002,460
27.74370003,21.99749947,0.0089095,460
27.49139023,22.01222038,0.0089363,460
27.35358047,21.99729919,0.0085211,460
27.82320023,22.35796928,0.0093785,460
37.39559174,22.94313049,0.0332421,2312
37.30809021,22.96632957,0.0299405,2312
37.47676849,23.09697914,0.0306501,2312
37.45809174,23.10857964,0.0308565,2312
37.16579056,23.01227951,0.0294518,2312
37.30826187,23.08271027,0.0311576,2312
37.56866074,23.15324974,0.027741200000000004,2312
37.47266006,23.14728928,0.028473200000000008,2312
36.67568970000001,24.79944992,0.032969599999999995,16257
36.43965149,24.77780914,0.0337628,16257
36.72565079,25.03272057,0.0313275,16257
36.41036987,24.82836914,0.0331092,16257
36.30918121,24.86566925,0.0346346,16257
36.42004013,24.96500015,0.033709699999999995,16257
36.51113892,25.10887909,0.0338181,16257
36.42879105,25.78474998,0.0334856,4238
36.67184829999999,25.94433022,0.0314428,4238
36.73699188,26.01608086,0.032104,4238
36.5465889,26.05542946,0.0309647,4238
36.56322098,26.10639954,0.033261900000000004,4238
36.68901062,26.13690948,0.031223700000000007,4238
36.56943893,27.21209908,0.033712300000000014,6002
30.96434975,25.92528915,0.0154132,2819
30.9210701,26.27691078,0.0158742,2819
30.88698959,26.30722046,0.0165305,2819
30.37818909,26.48097992,0.016231299999999997,2819
30.44375038,26.5468998,0.015825799999999998,2819
36.439991,27.22112083,0.0314337,6002
36.44852066,27.24258995,0.0312606,6002
36.53783035,27.29400063,0.0319354,6002
36.24560165,27.52383041,0.0310187,6002
37.32656097,28.00157928,0.0347892,1902
41.09096146,31.35474968,0.0173468,294
41.06766129,31.36668968,0.0165865,294
41.08274841,31.46216965,0.017197099999999996,294
36.4606781,27.41278076,0.0343014,6002
36.55183029,27.60339928,0.03247,6002
36.60863876,27.65422058,0.0316577,6002
37.01504898,28.17532921,0.033532,1902
36.94102859,28.20920944,0.0355377,1902
36.71984863,28.18709946,0.0342179,1902
37.23056029999999,28.15125084,0.035045,1902
37.0938797,28.13508987,0.037713,1902
37.13008118,28.34818077,0.0351376,1902
40.858181,31.47089005,0.0162872,294
40.88611984,31.7899704,0.0150091,294
41.10499954,32.35000992,0.0145047,294
40.88729095,32.25281906,0.0157144,294
40.79397964,32.26583099,0.0177863,294
40.81270981,32.42496872,0.0165973,294
40.81567001,32.46672821,0.0127178,294
40.95793915,32.47489166,0.0137865,294
40.93384171,32.49565887,0.013066299999999998,294
40.96051025,32.51189041,0.01441,294
40.76203918,32.49123001,0.0185834,294
41.64886093,32.44926834,0.015379599999999997,294
41.30273819,32.28404999,0.0159605,294
41.24094009,32.70627975,0.016947999999999998,294
41.2903595,32.98974991,0.0161434,294
41.30630112,32.97814178,0.0162202,294
38.58335114,32.42943954,0.0149392,635
38.58377075,32.50561142,0.0154495,635
39.12614059,32.71533966,0.0149482,635
38.32126999,32.74671936,0.0159903,635
38.69572067,32.84621048,0.0150894,635
38.60741043,32.95444107,0.014268799999999996,635
38.53295135,32.94725037,0.0142944,635
47.86431885,34.97550964,0.0199415,1108
47.62760925,35.0839386,0.0213249,1108
48.06148911,35.36880875,0.0200026,1108
47.91485977,35.37390900000001,0.0196238,1108
47.78218842,35.32487106,0.017935200000000002,1108
47.55978012,35.24993134,0.017451599999999998,1108
47.77228928,35.38682175,0.0199084,1108
47.86215973,35.45824814,0.0191834,1108
45.57139969,35.68413162,0.0486034,4827
45.4366684,35.6770401,0.0469949,4827
45.50616837,35.75981903,0.0455297,4827
45.46453857,35.84117889,0.0471759,4827
45.38499069,35.97827148,0.0443489,4827
44.94952011,35.66614914,0.0438381,4827
44.6971817,35.73266983,0.044781199999999986,4827
45.14511871,36.08467865,0.046552300000000005,4827
44.88185120000001,35.94174957,0.0468545,4827
44.74459839,41.28855896,0.016283000000000002,334
61.32118988,30.1174202,0.0181628,800
61.51877975,30.15728951,0.0179063,800
61.92835999,30.06180954,0.0173669,800
61.8506012,30.28923988,0.0181722,800
61.78860855,30.34166908,0.0185911,800
61.65723038,30.37624931,0.017568900000000002,800
61.93167114,30.48847961,0.017850400000000002,800
65.10592651,35.54016876,0.0224875,762
64.94090271,35.50954056,0.0209315,762
65.33527374,35.73778915,0.020265,762
65.13339996,35.69915009,0.0204149,762
65.18216705,35.84355164,0.0208524,762
65.16927338,35.86296844,0.020408900000000004,762
65.30914307,35.92235947,0.0201746,762
65.46690369,36.12701035,0.0204907,762
65.41388702,36.2908783,0.0185401,762
65.73417664,36.40888977,0.0201853,762
65.80090332,36.39376831,0.0196065,762
65.81485748,36.48986816,0.0195834,762
65.99746704,36.58103943,0.0189433,762
66.01174164,36.64308929,0.0194202,762
64.87531281,35.98596954,0.0169111,762
65.05130005,36.14572906,0.0196071,762
64.88654327,36.26192093,0.0169481,762
64.40614319,36.28583908,0.0184799,762
65.41694641,36.73171997,0.0186203,762
65.33323669,36.76008987,0.019352200000000003,762
65.45506287,36.86758041,0.0182111,762
65.37265015,36.94921112,0.0188564,762
52.19417953,36.55636978,0.0151538,836
51.96361923,36.38972092,0.0144565,836
52.12612915,36.68357086,0.0155464,836
52.13135910000001,36.77632904,0.015340200000000003,836
51.99451828,37.04048157,0.015455600000000003,836
52.62234116,36.94765854,0.015235,836
56.86754989999999,41.30720139,0.0157362,1289
57.00772095,41.63602829,0.0157126,1289
57.17602158,41.86882019,0.0176821,1289
57.08346176,41.93540955,0.0165278,1289
57.02997971,42.1323204,0.018164,1289
57.21765137,42.34376907,0.017450900000000002,1289
57.25061035,42.31932068,0.0159982,1289
57.03134918,42.2134819,0.0170245,1289
56.92549133,42.27070999,0.0160766,1289
50.73036957,37.03329086,0.0154197,836
51.41891861,37.04259109,0.0148036,836
50.92897034,36.91960144,0.0152023,836
51.35292816,40.53672028,0.0117662,344
51.46809006,40.7487793,0.012062,344
51.15193939,40.69081116,0.0121238,344
50.3927002,40.72232056,0.0137694,344
50.54833984,40.72686005,0.015348,344
51.09503937,40.78866959,0.0124734,344
50.62228012,41.05028915,0.016723500000000002,344
50.7207489,41.2299118,0.0228045,344
50.86236954,41.40647888,0.0149055,344
50.41648865,41.36056137,0.0214243,344
50.40193939,41.39279938,0.0133858,344
50.33676147,41.46001816,0.0147483,344
50.39258957,41.50616837,0.0235009,344
50.60190964,41.47978973,0.017928200000000002,344
52.29912186,41.38800049,0.0181021,2399
52.07820129,41.74903870000001,0.017027200000000003,2399
52.59146881,41.30438995,0.018286,2399
52.58123016,41.57275009,0.017647,2399
53.02342987,41.5913887,0.0141808,2399
52.60800934,41.73860168,0.0181813,2399
52.50767136,41.83216095,0.013754399999999998,2399
52.23083115,41.9393692,0.015313900000000004,2399
52.68370056,42.01984024,0.0168737,2399
48.3112793,40.9623909,0.0186066,344
48.36972046,41.07513046,0.0177848,344
48.11785126,41.16876984,0.0187282,344
47.80644989,41.3637085,0.0168885,1110
49.28118896,40.88121033,0.0214461,344
49.6811409,41.07252121,0.018399900000000004,344
49.80014038,41.08921051,0.0164953,344
49.06595993,41.18074036,0.0204279,344
48.87561035,41.25125122,0.0175695,344
48.8379097,41.35541916,0.019499,344
49.17918015,41.3248291,0.0182906,344
49.24890137,41.35654068,0.020438,344
49.37152863,41.37564087,0.0209463,344
49.46295166,41.45075989,0.0140527,344
49.32202911,41.38537979,0.0188461,344
49.36339188,41.40512848,0.0186368,344
49.36623001,41.48797989,0.0162844,344
49.10890961,41.5304184,0.015281200000000003,344
49.36627960000001,41.61297989,0.0199109,344
49.26512146,41.63364029,0.0235788,344
49.30495834,41.6509285,0.0198535,344
49.11468124,41.62709045,0.0160215,344
49.89960861,41.15110016,0.0193498,344
50.00688171,41.25117111,0.0141361,344
49.93561935,41.27809143,0.0178112,344
49.97071075,41.30233002,0.0115597,344
49.91753006,41.3291893,0.0199074,344
50.08732986,41.37372971,0.0231127,344
50.20542145,41.37068939,0.0159458,344
50.25930023,41.40943909,0.0161667,344
50.17575073,41.40399933,0.0119563,344
50.06468964,41.39865112,0.0218627,344
49.99610901,41.47953033,0.0237517,344
50.1191597,41.48880005,0.0175781,344
50.12871933,41.50899124,0.0144189,344
49.79700089,41.3532486,0.0193292,344
49.84326172,41.42940903,0.017557299999999998,344
49.83871841,41.49063873,0.0121852,344
49.59363174,41.40970993,0.020983,344
49.68716049,41.46772003,0.016328799999999997,344
49.64984131,41.47721863,0.0106061,344
49.76935959,41.4686203,0.0128906,344
49.74216843,41.47008896,0.016016299999999997,344
49.68815994,41.48868942,0.0102268,344
49.90536118,41.48593903,0.0216676,344
49.95098114,41.51168060000001,0.0170159,344
49.8614006,41.54053116,0.017371400000000002,344
49.91896057,41.54862976,0.0208782,344
50.00362015,41.55374146,0.0170435,344
49.97563171,41.56340027,0.0197693,344
49.96453857,41.57352066,0.0163565,344
49.94921112,41.59637070000001,0.0243248,344
50.02545929,41.63002014,0.0135349,344
49.89260864,41.58055115,0.014442600000000003,344
49.8640213,41.63529968,0.0253169,344
49.82392883,41.64429092,0.0200541,344
50.24079132,41.50634003,0.0161202,344
50.2517395,41.56246185,0.0151608,344
50.37005997,41.53694153,0.0192882,344
50.21133041,41.60042191,0.0171,344
50.13743973,41.57410049,0.0100169,344
50.46453857,41.79724121,0.0189674,344
50.03001022,41.83283997,0.0135325,344
50.33292007,41.9319191,0.0093514,344
50.24123001,41.89384079,0.0141656,344
50.25099945,42.1423111,0.0178395,344
49.5872612,41.46353912,0.0159108,344
49.49819183,41.5202713,0.0105142,344
49.64736176,41.66698837,0.0249641,344
49.56845856,41.7349205,0.0217472,344
49.53491974,41.75439835,0.015874700000000002,344
49.74272919,41.70246124,0.0135245,344
49.46012115,41.96759033,0.0120588,344
49.94110107,41.97644043,0.0157015,344
49.97663116,42.01464081,0.0150556,344
48.53516006,41.29204941,0.0146721,344
48.96683884,41.8573494,0.015080700000000002,344
49.00419998,42.07432175,0.017305200000000003,344
48.4433403,41.96308136,0.0171102,344
48.6987915,42.22262955,0.0156787,344
48.56676102,42.41532898,0.0172241,344
48.82461929,42.69630051,0.0169658,344
45.90317917,41.16603088,0.0156482,1110
46.63634872,41.48537064,0.016663,1110
46.20734024,41.43624115,0.0155938,1110
47.46519089,41.55390167,0.0181378,1110
47.21208954,41.81164169,0.0188655,1110
47.63774109,42.00059128,0.018329,1110
46.72941971,41.50933075,0.015397999999999997,1110
46.78767014,41.74977875,0.0181128,1110
47.0226593,42.13005066,0.0166017,1110
46.89768982,42.22425079,0.0161439,1110
45.68424988,41.62537003,0.0159976,1110
45.9819603,41.80550003,0.0150828,1110
46.58422089,42.24996948,0.0171795,1110
46.88713837,42.38755035,0.0167578,1110
46.71660995,42.52307129,0.0172794,1110
46.91936874,42.75812149,0.0180666,1110
46.68643951,42.83280945,0.017897200000000002,1110
46.1348114,42.33930969,0.0178305,1110
46.15472031,42.36283875,0.0180342,1110
47.83889008,42.23271942,0.017823099999999998,1110
48.26313019,42.45713043,0.0151806,344
48.11999893,42.70209885,0.018155900000000003,344
47.46601105,42.25365067,0.015955100000000003,1110
47.59833908,42.41691971,0.0181506,1110
47.77645111,42.61511993,0.0303914,5243
47.67887878,42.75949097,0.0317738,5243
47.53501129,42.83024979,0.0298359,5243
47.55897903,42.82915115,0.0283199,5243
47.55506134,42.83808899,0.030779400000000005,5243
47.45500183,42.85506058,0.0297317,5243
47.38822937,42.85554886,0.0312837,5243
47.50419998,42.93470001,0.031419,5243
47.83041,43.19129181,0.0167481,1110
48.53543854,42.74921036,0.017541900000000003,344
47.16894913,42.87221909,0.0296079,5243
47.11785126,42.87969971,0.0298805,5243
47.33987045,42.8310318,0.0296367,5243
47.32646942,42.9721489,0.0183031,1110
47.01837158,42.97996902,0.0173592,1110
50.51091003,41.97356033,0.018488900000000003,344
50.52222061,42.17029953,0.017656799999999997,344
56.21356964,45.84529114,0.0157385,774
56.24357986,45.96747971,0.015856,774
56.05846024,46.10892868,0.0177835,774
55.91268921,46.15547943,0.016312,774
55.84405899,46.16292953,0.0162744,774
56.84519958,45.96934128,0.0164308,774
56.21942902,46.20193863,0.0157765,774
30.28269005,26.84410095,0.0157717,2819
30.49208069,27.28841019,0.015213,2819
30.66496086,27.57485008,0.015543200000000004,2819
29.27823067,32.78862,0.014424100000000004,499
29.22863007,33.01515961,0.0145115,499
29.17028999,33.04351044,0.0136644,499
28.97397041,32.98968887,0.0158182,499
29.38636017,33.20927811,0.0163877,499
29.45661926,33.37714005,0.015916299999999998,499
29.22776985,33.26662064,0.014243100000000003,499
19.97248077,32.46735001,0.0153113,387
17.01231003,31.67494965,0.0175644,396
17.30620956,31.97942924,0.0162627,396
17.308450699999998,32.15134048,0.0144643,396
16.39426041,31.97126961,0.015798,396
16.94655991,32.30986023,0.017161799999999998,396
16.74253082,32.30846024,0.0173533,396
16.85424995,32.29278183,0.0131249,396
16.86346054,32.3198204,0.0155981,396
16.88048935,32.36198044,0.017534900000000003,396
16.85396004,32.41255951,0.0160086,396
16.77469063,32.34812927,0.0185303,396
16.82331085,32.48287964,0.013769299999999998,396
16.81535912,32.52035141,0.0176088,396
17.82710075,31.88866997,0.0164501,396
18.04021072,32.12316132,0.0157239,396
17.49744987,32.36835098,0.016284,396
17.42700005,32.45138931,0.015774,396
17.71756935,32.59341812,0.0178173,396
17.79722023,32.70178986,0.0158859,396
17.22373009,32.51445007,0.0156127,396
17.24667931,32.63431931,0.0162437,396
17.30898094,32.75214005,0.0159885,396
17.82282066,33.11389923,0.017208900000000003,396
17.65234947,33.12649155,0.0176041,396
17.74534035,33.15200043,0.016675299999999997,396
17.90609932,33.35429001,0.0178647,396
17.68461037,33.558399200000004,0.0171511,396
16.48329926,32.41212845,0.0147422,396
16.3925209,32.42964935,0.015808000000000003,396
16.77408981,32.7951088,0.0157875,396
16.84350014,33.06729126,0.014697,396
17.09773064,33.13360977,0.0146631,396
17.10853958,33.14797974,0.0137668,396
17.01973915,33.45322037,0.0146915,396
20.40550995,32.60610962,0.0148665,387
20.11952972,32.70903015,0.0167542,387
19.95174026,32.76792908,0.0159165,387
20.55503082,33.2603302,0.0134896,387
20.19304085,33.04486084,0.0160174,387
20.32271004,33.09037018,0.016189,387
20.46319008,33.28266907,0.0138488,387
20.27331924,33.37892151,0.016560599999999998,387
20.94939995,33.05532837,0.0142785,387
20.95634079,33.15621948,0.0145126,387
20.86622047,33.20428085,0.013145600000000002,387
20.91641998,33.25613022,0.0155061,387
20.91908073,33.28065872,0.0174793,387
20.99383926,33.31330872,0.0158006,387
21.55220985,33.40510941,0.0161234,387
21.18251991,33.42959976,0.0130771,387
21.16049957,33.47270966,0.0160533,387
21.38994026,33.67136002,0.0150905,387
20.73060989,33.17391968,0.0172634,387
20.82972908,33.27756882,0.0157887,387
20.86850929,33.33177185,0.018799,387
20.72117996,33.41360092,0.0124525,387
20.73316002,33.47140884,0.012773,387
20.8433609,33.43291855,0.01576,387
20.79780006,33.46012115,0.0137234,387
20.79836082,33.52925873,0.0190797,387
20.48457909,33.52096939,0.0146107,387
21.11167908,33.79954147,0.0185948,387
20.99897957,33.90782928,0.015255100000000002,387
21.33645058,34.02511978,0.0149293,387
21.62854958,34.67547989,0.0146172,1013
21.59074974,34.70302963,0.0163733,1013
26.81728935,35.56328964,0.014717700000000004,539
27.69959068,35.93275070000001,0.0153734,539
27.43240929,35.78562927,0.015975899999999998,539
26.87565041,36.03491974,0.0152984,539
27.02943993,36.45317841,0.0146799,539
26.59444046,36.46031189,0.0141354,539
20.05447006,33.50640869,0.0163528,387
20.39520073,33.60034943,0.0139605,387
20.26223946,33.89844894,0.0124884,387
20.70277977,33.9686203,0.0174123,387
20.66205978,34.43706894,0.0152958,1013
20.24921989,34.24869156,0.0160603,1013
20.56229973,34.66897964,0.0161465,1013
21.00169945,34.76895905,0.0148517,1013
21.41789055,34.71297073,0.015148599999999996,1013
21.57844925,34.75415039,0.0146106,1013
33.22930908,35.09008026,0.0459453,7785
36.8204689,33.57888031,0.0010923,18
38.09975052,35.49465179,0.0012669,18
36.40903854,36.96455002,0.035281400000000004,5581
37.70269012,37.13676834,0.0013115,18
36.66080856,37.13623047,0.0338992,5581
36.36381912,37.17433929,0.032622500000000006,5581
36.43833923,37.23171997,0.0361365,5581
36.56040955,37.29198837,0.0351452,5581
36.64300919,37.40151978,0.0369366,5581
32.87366104,34.81650925,0.0444628,7785
32.48439026,34.9408493,0.0457785,7785
32.70251846,34.98451996,0.0435084,7785
32.78855896,35.07645035,0.0441566,7785
32.67274094,35.19952011,0.045489,7785
32.27185059,35.10121155,0.0458201,7785
32.90554047,35.13019943,0.0481178,7785
28.79253006,35.28189087,0.017020900000000002,539
28.80822945,35.45856094,0.0181721,539
29.08926964,35.57255936,0.0170663,539
29.24118042,35.94578934,0.0151309,539
28.54698944,35.92237091,0.013443200000000002,539
28.72941017,35.87438965,0.0154479,539
29.0219593,36.12907028,0.0169527,539
28.83843994,36.30691147,0.013725799999999998,539
29.425819399999995,35.91611862,0.015512799999999997,539
29.41217041,36.25534821,0.014305200000000002,539
29.45973015,36.3431015,0.0147296,539
29.77063942,36.25860977,0.0154225,539
29.18281937,36.38452911,0.0147601,539
29.72834969,36.67496109,0.0153049,539
29.84083939,36.82699966,0.0152373,539
40.87517929,37.341259,0.0010515,18
40.10005188,39.0632515,0.001448,18
39.11595154,38.96907043,0.0023211,18
39.82038879,40.87229156,0.0014193,18
39.79597092,41.24565125,0.0142452,1945
41.99047089,40.30809021,0.0159708,5596
41.91876984,40.49483871,0.0180438,5596
42.20698929,40.67937088,0.016755700000000002,5596
42.44165039,41.05181122,0.0197236,5596
42.42031097,41.05506134,0.0176605,5596
42.51885986,41.38927078,0.0185469,5596
42.45005035,41.4629097,0.0169635,5596
42.09149933,41.61347961,0.016753099999999996,5596
43.17662048,41.3259697,0.0142828,334
43.69915009,41.31443024,0.0190653,334
43.70000839,41.40970993,0.0181227,334
43.5618515,41.38365936,0.0207568,334
43.45861053,41.4552002,0.0147705,334
43.61412811,41.57960892,0.0166962,334
43.68619919,41.52854919,0.0142174,334
43.64159012,41.55902863,0.017253,334
43.62665176,41.61056137,0.0201524,334
43.60157013,41.60559845,0.0198155,334
43.68323898,41.65528107,0.017290700000000003,334
44.16027069,41.33330917,0.0148324,334
44.38895035,41.51646042,0.015872999999999998,334
43.98091125,41.58237076,0.015218,334
44.02999115,41.63116837,0.0192148,334
43.97433853,41.74393845,0.0137792,334
43.6831398,41.86917114,0.0192982,334
44.34078979,41.93870926,0.0141918,334
43.16864014,41.39628983,0.012590100000000002,334
43.03292847,41.57983017,0.014619,334
42.82757187,41.56552124,0.0184853,5596
43.24533081,41.53453064,0.0219465,334
43.16065979,41.57825851,0.0147739,334
43.46366119,41.7274704,0.016905,334
43.41714859,41.72578049,0.0203503,334
43.39414978,41.885849,0.0237068,334
42.46247101,41.56809998,0.019367,5596
42.66878891,41.67148972,0.013828299999999998,334
43.66287994,42.16064835,0.0197562,334
39.86526871,41.49332047,0.0136945,1945
39.70726013,41.45973969,0.0139856,1945
39.80271912,41.6717186,0.0148613,1945
39.63349915,41.5292511,0.0126487,1945
39.66614151,41.64752960000001,0.0146128,1945
39.69773102,41.67042160000001,0.0139768,1945
39.90217972,42.01536942,0.013331799999999998,1945
36.7215004,41.68951035,0.0136871,1160
36.69305038,41.83449936,0.0183566,1160
36.87981033,41.93078995,0.0180829,1160
36.89432144,41.97761917,0.0181401,1160
37.8060112,43.33879089,0.020803400000000003,4724
37.72229004,43.34981918,0.019996,4724
36.19710922,41.68122864,0.0184762,1160
36.34458923,41.72605133,0.016685400000000003,1160
36.42816925,41.77735901,0.0139841,1160
36.4360199,41.7994194,0.0160105,1160
36.36156845,41.82429123,0.016649599999999997,1160
36.28083038,41.85152817,0.018675,1160
36.36560059,41.89680099,0.017206700000000002,1160
36.04293060000001,41.63024139,0.014245,1160
36.00761032,41.99608994,0.018152900000000003,1160
35.83488083,41.95140839,0.017603999999999998,1160
35.63711166,42.34832001,0.0010524,18
35.34695816,42.87644958,0.021417500000000003,1180
36.426651,41.95627975,0.0185142,1160
36.52156067,42.14408112,0.017743599999999998,1160
36.34498978,42.03549957,0.015887799999999997,1160
36.39126968,42.13447952,0.0141329,1160
36.3177681,42.0898819,0.014894799999999996,1160
36.64776993,42.75817108,0.0196324,1180
36.18507004,42.6230011,0.0190194,1180
35.9667511,42.79277039,0.0192414,1180
36.15177917,42.99544907,0.0211745,1180
35.57666016,42.80529022,0.020469900000000003,1180
35.76433182,42.91276932,0.0222757,1180
35.83192825,43.01390076,0.0194581,1180
35.80408096,42.98781967,0.021277,1180
35.74365997,43.01194,0.0212332,1180
35.62971115,43.06523132,0.019002900000000003,1180
36.04246902,43.29330826,0.0199125,1180
37.80324173,43.35839081,0.021403400000000003,4724
37.76993942,43.39849091,0.0207301,4724
37.84078979,43.46569824,0.0188519,4724
38.06494904,43.45500946,0.0198643,4724
28.09063911,35.79618835,0.0128172,539
28.10339928,35.85643005,0.0127012,539
28.3491497,36.01216125,0.0152646,539
28.07016945,36.03672028,0.0144084,539
28.05294037,36.09732056,0.0133822,539
27.87145996,36.06594086,0.016856,539
28.13570976,36.11516953,0.0134666,539
28.15707016,36.12680054,0.0149166,539
28.19364929,36.15182114,0.0153405,539
28.16501045,36.17142105,0.0177565,539
28.47961044,36.22940826,0.0157208,539
28.37354088,36.22129059,0.0138866,539
28.45890045,36.35028076,0.0130153,539
28.3114109,36.33399963,0.0157364,539
28.2394104,36.51288986,0.0158935,539
28.58251953,36.62981033,0.016208100000000003,539
28.48730087,36.64122009,0.018093400000000003,539
27.71340942,36.27576828,0.0163891,539
27.63849068,36.37081146,0.0161224,539
28.14459038,36.50088882,0.0130595,539
28.19132042,36.61931992,0.0176367,539
28.45859909,36.7874794,0.0147848,539
28.28516006,36.81985092,0.0169293,539
28.87272072,36.5618782,0.0167608,539
28.74435043,36.86935043,0.015944999999999997,539
28.72413063,36.91793060000001,0.0179048,539
29.19190025,36.88639069,0.017406599999999998,539
28.99367905,37.12939072,0.016559599999999997,539
29.12704086,37.33559036,0.0174991,539
28.34568024,36.95513916,0.0166777,539
29.45895958,37.36172867,0.0152968,539
29.40704918,37.45637894,0.017469799999999997,539
29.52331924,37.57786179,0.0148026,539
30.48987961,44.86021042,0.0208007,3378
30.46401024,44.89274979,0.0254292,3378
30.63570976,44.9654007,0.0203933,3378
30.38701057,45.00357056,0.0231268,3378
30.37862968,45.20141983,0.022465400000000003,3378
30.74543953,45.02376175,0.0236139,3378
27.52425003,47.89017105,0.0234261,1723
27.5435791,47.90935135,0.0233632,1723
28.16711044,48.0925293,0.0211384,1723
27.7636795,48.0039711,0.0229397,1723
28.07546997,48.08778,0.0218605,1723
27.90103912,48.10747147,0.0215026,1723
27.470800399999995,48.16146088,0.0229886,1723
27.71907043,48.35179901,0.0227396,1723
27.04418945,48.03585052,0.0217006,1723
20.76058006,49.93878174,0.0208094,1796
20.64347076,50.05498886,0.0196038,1796
20.86130905,49.97275162,0.0199576,1796
20.74366951,50.03353882,0.0206804,1796
20.57294083,50.03583145,0.0197996,1796
20.4826107,50.04747009,0.0200889,1796
20.95166969,50.1491394,0.0201836,1796
19.98974991,50.16968155,0.0218925,1796
20.12870979,50.14448166,0.0225829,1796
20.17827988,50.27555084,0.0202826,1796
42.42451859,46.57617188,0.0278697,1638
42.69734955,46.76541901,0.0269013,1638
42.75365067,46.95484924,0.0282895,1638
42.55081177,47.05450058,0.027418,1638
42.41773987,46.95446014,0.0285787,1638
42.4262619,47.1257019,0.0258241,1638
42.55305862,47.18083954,0.0292683,1638
41.98672104,47.13766098,0.0238929,1638
41.85832977,47.20211029,0.0253447,1638
42.24885941,47.1034317,0.0258219,1638
42.27880096,47.13177872,0.0289581,1638
41.43394089,47.25804138,0.0239506,1638
43.18505859,46.93814087,0.0274748,1638
43.07791901,47.09526062,0.029504,1638
43.06821823,47.15665817,0.0284646,1638
42.84181976,47.20077896,0.027009300000000003,1638
41.99187088,48.67060089,0.0292657,3400
41.81021881,48.74444962,0.0307103,3400
