ra,dec,z,iGrID
44.28839111,5.32090998,0.0240364,1069
43.40634918,6.06100988,0.0248901,1069
44.42557907,5.43221998,0.0246121,1069
44.43584061,5.67208004,0.0238482,1069
44.49330902,5.78307009,0.0196473,1069
44.48973083,5.7874999,0.020691,1069
44.22220993,5.87225008,0.0232906,1069
44.54866028,5.83663988,0.0238199,1069
44.55926895,5.97195005,0.0218524,1069
44.39028168,5.9769702,0.0221929,1069
44.32392883,5.97976017,0.024699400000000003,1069
44.44757843,6.02766991,0.0238111,1069
44.4231987,6.02692986,0.0214597,1069
44.46096039,6.05219984,0.0218105,1069
44.58758163,6.09517002,0.0220928,1069
44.65745926,6.17586994,0.0239446,1069
44.16849899,5.91294003,0.0230361,1069
43.83271027,6.12460995,0.0241637,1069
43.94552994,6.21752024,0.025972900000000004,1069
44.23583984,6.20558977,0.0205992,1069
44.12055969,6.317619799999999,0.0226945,1069
44.75363922,6.26827002,0.0218953,1069
44.62379837,6.30635977,0.0216895,1069
44.64337921,6.34417009,0.0220166,1069
44.60243988,6.59187984,0.0204349,1069
43.8118782,6.17771006,0.0245268,1069
43.42169952,6.26562023,0.0239063,1069
43.51470947,6.25790977,0.0246549,1069
43.9279213,6.34842014,0.021847400000000003,1069
44.02780151,6.37643003,0.0252571,1069
43.99000931,6.4948101,0.0249728,1069
43.38003159,6.47367001,0.0243821,1069
40.28469849,8.21658039,0.0208894,2127
40.44887161,8.38473034,0.0208153,2127
40.29199982,8.44237995,0.0209293,2127
40.30355072,8.71940994,0.0193953,2127
40.27571869,8.73801041,0.0200351,2127
40.26258087,8.74695015,0.0198814,2127
40.15983963,8.84856987,0.0194528,2127
43.71136856,8.78439999,0.0248148,2150
43.83407974,8.82816982,0.0259639,2150
43.76781845,9.11141014,0.0273163,2150
43.79483032,9.33685017,0.0265462,2150
44.1667099,9.42261982,0.0239083,2150
43.96768188,9.31175041,0.025022,2150
43.92536163,9.32419968,0.0242744,2150
44.02433014,9.37870979,0.0257365,2150
44.08649063,9.6662302,0.0242501,2150
42.46113968,13.14535999,0.0298221,5067
42.60575104,13.26622963,0.0278839,5067
42.25154114,13.22375965,0.0272245,5067
42.16392136,13.25946045,0.0293203,5067
41.93157959,13.25533009,0.028943,5067
42.26794815,13.44289017,0.0280183,5067
44.03639984,15.79249001,0.0331259,4129
43.98437119,15.97290993,0.0291341,4129
44.16851044,15.8826704,0.0294873,4129
44.26906967,15.98342991,0.0305193,4129
44.38582993,15.98480988,0.0293243,4129
44.40618896,16.067949300000002,0.030885000000000006,4129
44.13690186,15.91028976,0.0334844,4129
44.11983109,15.91609955,0.0338842,4129
44.11587906,16.00816917,0.029213,4129
